gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000001,1542.45,2.14,0.31,6.90,5.20e-12,5.20e-10
ENSG00000000002,432.10,-1.85,0.29,-6.38,1.77e-10,8.85e-09
ENSG00000000003,89.55,0.12,0.45,0.27,0.78716,0.91245
ENSG00000000004,2341.12,3.42,0.38,9.00,2.22e-19,4.44e-17
ENSG00000000005,12.40,-0.05,0.89,-0.06,0.95215,0.98124
ENSG00000000006,560.80,-2.11,0.33,-6.39,1.66e-10,8.85e-09
ENSG00000000007,782.34,1.67,0.26,6.42,1.36e-10,8.16e-09
ENSG00000000008,105.20,-1.41,0.42,-3.36,0.00078,0.00520
ENSG00000000009,19.80,2.80,0.74,3.78,0.00016,0.00124
ENSG00000000010,4120.50,0.03,0.15,0.20,0.84148,0.93214
ENSG00000000011,612.30,-3.04,0.35,-8.69,3.67e-18,5.51e-16
ENSG00000000012,341.90,1.98,0.28,7.07,1.55e-12,1.86e-10
ENSG00000000013,54.60,-0.85,0.51,-1.67,0.09492,0.23145
ENSG00000000014,128.40,1.25,0.39,3.21,0.00133,0.00812
ENSG00000000015,954.10,-0.18,0.22,-0.82,0.41221,0.61245
ENSG00000000016,210.50,-1.72,0.34,-5.06,4.19e-07,1.11e-05
ENSG00000000017,842.10,2.56,0.32,8.00,1.11e-15,1.33e-13
ENSG00000000018,45.20,0.45,0.58,0.78,0.43539,0.63145
ENSG00000000019,1102.40,-1.15,0.24,-4.79,1.67e-06,3.85e-05
ENSG00000000020,315.80,1.02,0.31,3.29,0.00100,0.00652
ENSG00000000021,67.30,-2.45,0.56,-4.38,1.19e-05,0.00021
ENSG00000000022,1842.90,0.01,0.18,0.06,0.95215,0.98124
ENSG00000000023,510.40,1.89,0.27,7.00,2.56e-12,2.56e-10
ENSG00000000024,142.60,-0.92,0.41,-2.24,0.02509,0.08124
ENSG00000000025,98.10,-1.34,0.46,-2.91,0.00361,0.01824
ENSG00000000026,2904.50,3.12,0.34,9.18,4.35e-20,1.31e-17
ENSG00000000027,55.40,0.22,0.54,0.41,0.68180,0.84124
ENSG00000000028,712.90,-2.05,0.29,-7.07,1.55e-12,1.86e-10
ENSG00000000029,134.50,1.48,0.38,3.89,0.00010,0.00085
ENSG00000000030,820.40,-0.31,0.21,-1.48,0.13887,0.31045
ENSG00000000031,48.90,2.15,0.62,3.47,0.00052,0.00381
ENSG00000000032,1250.60,-1.64,0.25,-6.56,5.38e-11,2.93e-09
ENSG00000000033,310.20,0.88,0.32,2.75,0.00596,0.02614
ENSG00000000034,24.50,-0.71,0.68,-1.04,0.29834,0.51245
ENSG00000000035,5612.30,4.02,0.41,9.80,1.11e-22,4.44e-20
ENSG00000000036,189.40,-1.21,0.37,-3.27,0.00108,0.00691
ENSG00000000037,642.10,1.53,0.28,5.46,4.76e-08,1.43e-06
ENSG00000000038,76.40,-1.98,0.49,-4.04,5.34e-05,0.00051
ENSG00000000039,112.50,1.11,0.42,2.64,0.00829,0.03412
ENSG00000000040,3412.80,-0.02,0.14,-0.14,0.88866,0.95124
