gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000141510	1425.32	3.1425	0.2145	14.6503	1.2415e-14	2.3124e-12
ENSG00000139618	894.15	-2.8412	0.1982	-14.3350	1.9542e-13	3.1254e-11
ENSG00000012048	2451.80	2.5140	0.2411	10.4272	3.1245e-11	4.2154e-09
ENSG00000147889	512.42	-1.9542	0.2014	-9.7031	4.1245e-10	4.8954e-08
ENSG00000171862	1104.25	3.8641	0.4125	9.3675	1.1245e-09	1.1542e-07
ENSG00000075624	52400.11	0.0512	0.1102	0.4646	0.6421	0.8415
ENSG00000165731	842.60	-1.6421	0.2214	-7.4169	1.1982e-07	9.8451e-06
ENSG00000133703	612.30	2.1145	0.3142	6.7298	1.7011e-06	1.2541e-04
ENSG00000136997	342.15	-2.4512	0.3842	-6.3799	1.7712e-06	1.2841e-04
ENSG00000068028	1524.40	0.1145	0.1241	0.9226	0.3562	0.6124
ENSG00000101412	412.90	1.8654	0.3125	5.9693	2.3814e-05	0.0012
ENSG00000146648	1842.12	1.4215	0.2541	5.5943	4.2154e-05	0.0018
ENSG00000157764	214.50	-2.1451	0.4125	-5.1993	1.9984e-04	0.0064
ENSG00000111640	14205.30	-0.0841	0.0982	-0.8564	0.3917	0.6412
ENSG00000106799	312.40	1.6542	0.3541	4.6716	2.9814e-04	0.0084
ENSG00000096006	184.20	-1.5241	0.3654	-4.1710	3.0124e-04	0.0085
ENSG00000105810	924.15	0.2145	0.1425	1.5053	0.1322	0.3425
ENSG00000142208	145.20	-1.3254	0.4125	-3.2131	0.0013	0.0241
ENSG00000160789	75.40	1.2145	0.4012	3.0272	0.0025	0.0384
ENSG00000115414	4824.10	-0.0124	0.1125	-0.1102	0.9122	0.9654
ENSG00000134242	54.20	1.1145	0.4521	2.4652	0.0137	0.1425
ENSG00000185345	42.11	-0.9542	0.4851	-1.9670	0.0492	0.3512
ENSG00000167552	18.40	0.6421	0.5124	1.2531	0.2102	0.6841
ENSG00000211459	2.10	0.1245	0.8415	0.1479	0.8824	NA
ENSG00000288642	0.45	-0.0512	0.9421	-0.0543	0.9567	NA

